source_path,line_count,target_path,category,priority,confidence,notes
app/snap/page.tsx,12,/snap/snap-et,marketing_alias,medium,medium,campaign or outreach path alias
app/store/licenses/managed/page.tsx,21,(dynamic-or-unknown),required_legacy_url,high,medium,critical transactional/support alias
app/store/licensing/enterprise/page.tsx,6,/store/licenses/enterprise-license,required_legacy_url,high,medium,critical transactional/support alias
app/store/licensing/managed/page.tsx,6,/store/licenses/managed,required_legacy_url,high,medium,critical transactional/support alias
app/store/licensing/page.tsx,6,/store/licenses,required_legacy_url,high,medium,critical transactional/support alias
app/store/licensing/partnerships/page.tsx,6,/store/licenses,required_legacy_url,high,medium,critical transactional/support alias
app/store/licensing/success/page.tsx,6,/store/licenses/success,required_legacy_url,high,medium,critical transactional/support alias
app/store/request-license/page.tsx,19,(dynamic-or-unknown),required_legacy_url,high,medium,critical transactional/support alias
app/support/documentation/page.tsx,16,/help,required_legacy_url,high,medium,critical transactional/support alias
app/tax/rise-up-foundation/faq/page.tsx,12,/help,marketing_alias,medium,medium,campaign or outreach path alias
app/tax/rise-up-foundation/free-tax-help/page.tsx,12,/contact,marketing_alias,medium,medium,campaign or outreach path alias
